folder,uid,magstate,is_magnetic,nspins,spin_axis,E_x,E_y,E_z,dE_zx,dE_zy,stoichiometry,spacegroup,spgnum,pointgroup,crystal_type,efermi,gap,vbm,cbm,gap_dir,gap_dir_nosoc,gap_nosoc,minhessianeig,dynamic_stability_phonons,vbm_hse,cbm_hse,gap_dir_hse,gap_hse,Source,asr_id,ehull,hform,thermodynamic_stability_level,ndim,xc,evac,workfunction,PBE_1D,PBED3_3D,derived_from,PBED3_1D,s0_exp,s1_exp,s2_exp,s3_exp,s01_exp,s0_cal,s1_cal,s2_cal,s3_cal,s01_cal,dynamic_stability_stiffness,c_11,evacdiff,dipz,emass_vb_dir1,emass_cb_dir1,Formula
ML/group_0/Br10Hf5Se4Zr/new/fm,ZrSe4Hf5Br10-6b6280765d7f,FM,True,2.0,z,-3153983.3302238923,-3153980.8651552177,-3153983.3424001373,-0.012176245036243927,-2.477244919646182,AB10C4D5,P1,1,1,AB4C5D10-1-a,-3.0016817543181826,0.09982734854775366,-3.0515954285920595,-2.951768080044306,0.09982734854775366,0.0,0.0,-0.00017934768535928707,high,-3.169831232788456,-2.6641501623643715,0.5129944351875206,0.5056810704240844,Machine learning generated,6b6280765d7fd5f6ef6381f7883881a6,-0.010853048266569632,-1.2397089802932477,3.0,1D,PBE,,,,,,,,,,,,,,,,,,,,,,,ZrSe4Hf5Br10
ML/group_0/Br6Hf2I4S3SiSnTi/new/fm,SiSnTiHf2S3I4Br6-be5a3987f818,FM,True,2.0,y,-2402746.7172805867,-2402747.332803408,-2402746.909334703,-0.1920541162689915,0.4234687048665364,ABCD2E3F4G6,P1,1,1,ABCD2E3F4G6-1-a,-3.7260560599857193,0.6556563714145871,-4.053884245693013,-3.3982278742784255,0.668615897740025,0.701492071845375,0.688749289766525,-0.002769920762742303,high,,,,,Machine learning generated,be5a3987f81899b7fed9eb20810d9919,0.0793257847010409,-0.9928246884636829,3.0,1D,PBE,,,,,,,,,,,,,,,,,,,,,,,SiSnTiHf2S3I4Br6
ML/group_0/Cl2P2Se2/new/fm,Cl2P2Se2-87f73248da81,NM,False,1.0,z,0.0,0.0,0.0,0.0,0.0,ABC,P1,1,1,ABC-1-a,-4.255873143175349,2.207095121090903,-5.359420703720801,-3.152325582629898,2.207095121090903,2.2137594683754545,2.2137594683754545,-4.0375860847694366e-15,high,-5.926729484584687,-2.787507043617774,3.139222440966913,3.139222440966913,Machine learning generated,87f73248da81779d5f0569197d240ae8,0.034818035207004494,-0.3103649599509903,3.0,1D,PBE,,,,,,,,,,,,,,,,,,,,,,,Cl2P2Se2
ML/group_0/Cl8Mo2SSi/new/fm,SSiMo2Cl8-b56d194fa789,FM,True,2.0,x,-1603887.574018977,-1603887.2764865723,-1603887.4651502161,0.10886876088989084,-0.18866364371206146,ABC2D8,P1,1,1,ABC2D8-1-a,-3.8686032104236565,0.8478812472305184,-4.2925438340389155,-3.444662586808397,0.8488969071086605,0.8508838142470196,0.8508838142470196,-0.003266088244949498,high,-4.86624051061465,-2.9987378221371315,1.9347373058285147,1.867502688477518,Machine learning generated,b56d194fa7894a2a8b4553d74b14ee36,0.17089727614273664,-0.8912440161341776,3.0,1D,PBE,,,,,,,,,,,,,,,,,,,,,,,SSiMo2Cl8
ML/group_0/I6VZr/new/fm,VZrI6-ab5be199567c,FM,True,2.0,z,-1148503.0281861755,-1148503.0279863076,-1148503.2189648414,-0.19077866591032944,-0.19097853373750695,ABC6,P1,1,1,ABC6-1-a,-3.9980749215458475,0.2391297980432423,-4.117639820567469,-3.8785100225242264,0.2987150805586527,0.30611908430079504,0.24761949743533984,-0.008313214485260557,high,-4.704796210190002,-3.1950135129547608,1.9978012275080061,1.5097826972352415,Machine learning generated,ab5be199567cd6115ae3ae8d635e0497,-0.043437133805447115,-0.8051558622224402,3.0,1D,PBE,,,,,,,,,,,,,,,,,,,,,,,VZrI6
ML/group_1/AlBr4ISe7Si3Ti2/new/fm,AlITi2Si3Br4Se7-983370d25a36,NM,False,1.0,z,0.0,0.0,0.0,0.0,0.0,ABC2D3E4F7,P1,1,1,ABC2D3E4F7-1-a,-3.334520117616872,0.029010414959463215,-3.3490253250966036,-3.3200149101371403,0.04585497493276103,0.0,0.0,-0.005669450407473649,high,-3.2456099389022954,-3.174709928898097,0.07090001000419832,0.07090001000419832,Machine learning generated,983370d25a36b853a8598b20f57e941f,0.16689574078709712,-0.6565690001272952,3.0,1D,PBE,,,,,,,,,,,,,,,,,,,,,,,AlITi2Si3Br4Se7
ML/group_1/AsBr2PSe2/new/fm,AsPBr2Se2-a21932209c41,NM,False,1.0,z,0.0,0.0,0.0,0.0,0.0,ABC2D2,P1,1,1,ABC2D2-1-a,-4.409396140329129,2.5159229264446865,-5.667357603551472,-3.1514346771067854,2.5462269208217423,2.6170815713625744,2.5772392244285114,-4.953053894638762e-15,high,-6.304754659338397,-2.79620575656476,3.5429218337682675,3.5085489027736374,Machine learning generated,a21932209c41c939d324ec86a285ec20,0.020784448879079598,-0.2288310137741932,3.0,1D,PBE,,,,,,,,,,,,,,,,,,,,,,,AsPBr2Se2
ML/group_1/Bi2Br6/new/fm,Bi2Br6-0d47dbba9797,NM,False,1.0,z,0.0,0.0,0.0,0.0,0.0,AB3,P1,1,1,AB3-1-a,-5.302332822461899,2.2171285980641757,-6.410897121493988,-4.193768523429812,2.255530175604104,3.5186074270727397,3.49346800582251,-2.5380822335061086e-14,high,-7.012238974010999,-3.895980708847527,3.1734506769198876,3.116258265163472,Machine learning generated,0d47dbba9797d0335ee8fc0d633032d2,0.026398305667953537,-0.7579184932452048,3.0,1D,PBE,,,,,,,,,,,,,,,,,,,,,,,Bi2Br6
ML/group_1/Br13Hf4PdSe2/new/fm,PdSe2Hf4Br13-0e331fb2d811,NM,False,1.0,z,0.0,0.0,0.0,0.0,0.0,AB13C2D4,P1,1,1,AB2C4D13-1-a,-4.406585444553002,0.0,,,0.0,0.0,0.0,-0.005391360256017823,high,,,0.0,0.0,Machine learning generated,0e331fb2d81137772b18ed99e0dd23ab,-0.22739310579034355,-1.1675613662682598,3.0,1D,PBE,,,,,,,,,,,,,,,,,,,,,,,PdSe2Hf4Br13
ML/group_1/Br5Cl3Hf2MoTe/new/fm,MoTeHf2Cl3Br5-1d286284ce16,NM,False,1.0,z,0.0,0.0,0.0,0.0,0.0,ABC2D3E5,P1,1,1,ABC2D3E5-1-a,-4.377345622150256,0.28832378559991056,-4.521507514950211,-4.2331837293503005,0.3113921730655669,0.3131884881870164,0.2784009601129682,-0.009058642086769859,high,-4.818089812972891,-3.7993557453156317,1.0187340676572596,1.0187340676572596,Machine learning generated,1d286284ce163aafe8565e09146882eb,0.1518386850017781,-1.0291685229096696,3.0,1D,PBE,0.9727244533774568,5.350070075527713,,,,,,,,,,,,,,,,,,,,,MoTeHf2Cl3Br5
