formula,sg,xc,flg
Ge26Ir8Y6,223,{'pbe': {}},
FeSbV,216,{'pbe': {}},
C4Ba2N4S4,15,{'pbe': {}},
Ag4F28Ru4,14,"{'pbe': {'am': 12.32, 'tm': 11.83}}",
Rh4Sn16,142,{'pbe': {}},
Au4Cu12Sn4,198,{'pbe': {}},
Mn6Na4O24P6,15,"{'pbe': {'am': 28.2, 'tm': 28.0}}",
FeLaO3,221,"{'pbe': {'am': 3.21, 'tm': 3.14}}",
La6Ni6Zn2,63,{'pbe': {}},
F16Sb4Tl4,14,{'pbe': {}},
CSr,225,"{'pbe': {'am': 2.0, 'tm': 2.0}}",['ht']
B4Ir10Mg4Zn2,127,{'pbe': {}},
Ag3CrF6,225,"{'pbe': {'am': 3.15, 'tm': 2.95}}",['ht']
As3Ga3O12,152,{'pbe': {}},
Ga12Mn4Zr6,59,"{'pbe': {'am': 12.12, 'tm': 7.94}}",
B14Cl2Mg6O26,219,{'pbe': {}},
Ge6La10O2,193,{'pbe': {}},
C4N8Se4,62,{'pbe': {}},
Co2EuGe2,139,"{'pbe': {'am': 7.02, 'tm': 6.9}}",
C8O32Yb8,137,"{'pbe': {'am': 16.48, 'tm': 16.0}}",
Cs6La2N36,2,{'pbe': {}},
ErIn,221,"{'pbe': {'am': 2.5300000000000002, 'tm': 2.52}}",
C8Li4N16Yb4,60,"{'pbe': {'am': 4.33, 'tm': 4.08}}",
Nb12Ni8Si4,227,{'pbe': {}},
Ca6Ga4P8,15,{'pbe': {}},
H8O18P4Rh2,5,"{'pbe': {'am': 4.14, 'tm': 3.96}}",
BeLiP,216,{'pbe': {}},['th']
AsB2P,115,{'pbe': {}},['th']
Bi4Co2Ti8,140,{'pbe': {}},
Au6Ga14Gd2,167,"{'pbe': {'am': 14.38, 'tm': 14.02}}",
Ba2Ni20P12,64,{'pbe': {}},
Ba4Cu4Gd8O20,62,"{'pbe': {'am': 59.86, 'tm': 52.0}}",
Au2F8Li2,15,{'pbe': {}},
Cu2Mo2O8,2,{'pbe': {}},
Ba4Br4I4,62,{'pbe': {}},
Al4S8Zn2,227,{'pbe': {}},
Ca4Ge4Li4,62,{'pbe': {}},
Mo6Se6Tl2,176,{'pbe': {}},
Fe2O12Se4Sr,10,"{'pbe': {'am': 10.05, 'tm': 10.0}}",['th']
CrSe4V2,12,"{'pbe': {'am': 0.38, 'tm': 0.21}}",
O24P6Rh6,74,{'pbe': {}},
CuO2Pr,166,"{'pbe': {'am': 2.17, 'tm': 2.0}}",
BiErPt,216,"{'pbe': {'am': 2.75, 'tm': 2.74}}",
Cs2Se6Y2Zn2,63,{'pbe': {}},
In2Sc4,194,{'pbe': {}},
Au8Zn24,223,{'pbe': {}},
Rh2Si4Y4,12,{'pbe': {}},
CaFeO3,221,"{'pbe': {'am': 3.4, 'tm': 3.32}}",
CoNi,221,"{'pbe': {'am': 2.65, 'tm': 2.39}}",['th']
Al2K2O16S4,165,{'pbe': {}},
C16F8N6S4,43,"{'pbe': {'am': 2.39, 'tm': 2.0}}",
Ca2Li6Mn2N6,148,"{'pbe': {'am': 4.38, 'tm': 4.0}}",
Eu2Ir4,227,"{'pbe': {'am': 14.91, 'tm': 12.36}}",
Mn4O16Te6,15,"{'pbe': {'am': 20.02, 'tm': 20.0}}",
CdO6Ti2,162,"{'pbe': {'am': 2.33, 'tm': 1.96}}",
H2Hf4Si2,140,{'pbe': {}},
Cu2Li2O8V2,74,"{'pbe': {'am': 2.15, 'tm': 2.0}}",
Cl8Hg2PdTl2,12,{'pbe': {}},
La2Rh2Sn4,63,{'pbe': {}},
MgNi2,69,"{'pbe': {'am': 0.26, 'tm': 0.2}}",
Br18K4Nb6,12,{'pbe': {}},
CO4Rb4,81,{'pbe': {}},['th']
Br16Cs8Hg4,14,{'pbe': {}},
F6HfK2,189,{'pbe': {}},['ht']
H8Li8S8,135,{'pbe': {}},['th']
Cu8In8O20,3,"{'pbe': {'am': 8.59, 'tm': 8.0}}",
PPtTb,187,"{'pbe': {'am': 5.98, 'tm': 5.95}}",
AsGdNi,187,"{'pbe': {'am': 7.3, 'tm': 7.19}}",
B6Nb6Ru6,51,{'pbe': {}},
IK,225,{'pbe': {}},
C8N8Ni2Zn2,132,{'pbe': {}},
Cl8Eu8O12Si4,87,"{'pbe': {'am': 56.6, 'tm': 56.0}}",
Gd2Mg2Na2O12W2,4,"{'pbe': {'am': 14.03, 'tm': 14.0}}",
CdNNi3,221,{'pbe': {}},
Al2Au,225,{'pbe': {}},
Cr4O8Y4,88,"{'pbe': {'am': 14.34, 'tm': 12.05}}",
Ba3CaO9Ru2,164,"{'pbe': {'am': 6.13, 'tm': 5.98}}",
Ba4Hf3S10,69,{'pbe': {}},
B20InNi21,221,{'pbe': {}},
Ba4In8P8,11,{'pbe': {}},
Ni8P4Sn4,62,{'pbe': {}},
Ca6Ir8Sn26,223,{'pbe': {}},
Ba2Cl4O12,43,{'pbe': {}},
Ge26Lu6Os8,223,{'pbe': {}},
CoF6KRb2,225,"{'pbe': {'am': 4.06, 'tm': 4.0}}",
Cl4Li4O8,138,{'pbe': {}},
C4Ca2,15,{'pbe': {}},
Br4N4Pt,139,"{'pbe': {'am': 4.54, 'tm': 4.49}}",
AsCu3Se4,121,{'pbe': {}},
B2Cr2O6,167,"{'pbe': {'am': 6.33, 'tm': 6.0}}",
Na2Rb8Si36,227,{'pbe': {}},
C40F48,15,{'pbe': {}},
C3Ca2Na2O9,38,{'pbe': {}},
CGd3Tl,221,"{'pbe': {'am': 21.6, 'tm': 21.18}}",
Al2H12K4Na2,14,{'pbe': {}},['th']
Cl2Cs2MnO6V2,35,"{'pbe': {'am': 5.04, 'tm': 5.0}}",
Lu4O14V4,227,"{'pbe': {'am': 4.93, 'tm': 3.7}}",
K4P4Pd2,63,{'pbe': {}},
Mg4O12Si4,15,{'pbe': {}},
Cl4K2Mg,139,{'pbe': {}},
Fe4P12Pr,204,"{'pbe': {'am': 2.85, 'tm': -1.07}}",
La8Mo4O24,15,{'pbe': {}},
Ba8Ge4P8,14,{'pbe': {}},
C4NiSc3,71,{'pbe': {}},
Ag8O8Si4,86,{'pbe': {}},
BGeLiO4,42,{'pbe': {}},
C8H8Cu3Na2O16,2,"{'pbe': {'am': 0.97, 'tm': 0.8300000000000001}}",
Eu3OPb,221,"{'pbe': {'am': 21.53, 'tm': 21.02}}",
Nb6O12Ti2,148,{'pbe': {}},
B4H20Li2N4Na2,2,{'pbe': {}},
Ga2S2,160,{'pbe': {}},
C2Mn4Si2Y2,63,"{'pbe': {'am': 6.46, 'tm': 5.25}}",
AuCu4Lu,216,{'pbe': {}},
