formula,target
O2,1
C3N,1
GaN,1
LiB,1
Ga,1
Sb2Te3,1
Dy2C,1
HgBrN,1
LiMg,1
Al2Zn2S5,1
VTe2,1
H3W,1
TmTe3,1
Ti2H2O3,1
TiSe,1
TbTe3,1
DySb2,1
SiNiSb,1
CaCoSi,1
CaSi3Ir,1
Ca2CoO3,1
Zn2Ga2S5,1
BiS,1
PbS,1
SN,1
Mg2Sn,1
CoO2,1
PdS2,1
MnHO2,1
NbS2,1
P,1
BC2N,1
YMg2,1
Al3Ru2,1
TbMgNi,1
TcCl3,1
Zn3(GaS3)2,1
RbMg6BO7,1
Mn(GaS2)2,1
CdPb2(ClO)2,1
IrC2,1
NaMnSe2,1
NbTe2,1
HfTaNO3,1
SrMg2,1
HoCoGe2,1
Ho(CuS)2,1
Zn(GaS2)2,1
MgBi2,1
FeHO2,1
CaFeSO,1
Co(ClO3)2,1
TiZn(BiO3)2,1
CeI3,1
PdN2,1
Te2W,1
LiMg2,1
U2S,1
TePt,1
NbCl2O,1
MgBi,1
Sb,1
Nb2CuS4,1
Ca,1
LuPb2,1
LaTe3,1
NdB4,1
SiS2,1
Mg(BrO3)2,1
US3,1
ZnSnO3,1
NpSe3,1
PrTe3,1
Tb(CuS)2,1
NdAl3Cu,1
LiH2N,1
CaMg2,1
PbSe,1
Zn(ReO4)2,1
CrTe4Au,1
Mg6BC,1
CN2,1
DyTe3,1
CdNCl3,1
ZrSn,1
AlN,1
NiHO2,1
ErNiGe2,1
SnO,1
B13P2,1
ZnMoO4,1
RbHfMg6O7,1
FeO2,1
LaClO2,1
Ge,1
HgNCl,1
YZnPO,1
LiBe,1
GaTe,1
Mn(InSe2)2,1
BPt2,1
Pt(NO3)2,1
B,1
Ni(ClO3)2,1
MgSb2,1
Cu2WSe4,1
ReN2,1
LaBiSe2O,1
TaAlO4,1
SnPS3,1
Na2Cl,1
Co(SiSe2)2,1
Mg3C,1
ThSe3,1
LiTl,1
Tl2CuF4,1
MgCuO2,1
Se,1
ZnGeN2,1
Mg5Ti,1
V2CoO6,1
Mg2Ti,1
SbS,1
MgTi2,1
BaFeS,1
B2S2O9,1
ZrCd,1
Pd(NCl)2,1
CeMg2,1
LaAl3Cu,1
In2Te3,1
MgO2,1
CrSe2,1
ThGe2,1
MgSn,1
ScF3,1
FeSe,1
Pb,1
MgTi,1
ZrCl3,1
YbCoGe2,1
W2N3,1
MoS2,1
Al2FeS4,1
ZrSiO4,1
Te,1
Al2ZnS4,1
Bi2O3,1
Na2HfN2,1
H2C2S,1
CdO2,1
SmGe2,1
HfCd,1
Tl2GeSe3,1
YbCuPbSe3,1
TeO2,1
LiMnTe2,1
MgSb3,1
GeP,1
TbGe2,1
NaLi2As,1
Mn(SbS2)2,1
CeSe2,1
HfMg6BO7,1
ZrN2,1
TePb,1
LaBiS2O,1
Zn(OF)2,1
Ta2PtSe7,1
EuS,1
CdClO,1
LaMg5,1
TiS2,1
Nd2Te5,1
TbGaI,1
CeMg5,1
Mo(BrO)2,1
Y2C,1
CuPb2(ClO2)2,1
Sr2GdS3,1
RbLiMg6O7,1
ZrS2,1
