formula,target
F4H4Na4O16P4Sn4,0
SSiPt2Br8,0
B2I6,0
Ag6O2,0
C12Cl12N12O4P4S12Sb4,0
O19Rb8Ta6,0
Ir6Sn6Zr6,0
As4Au4Cl16,0
NW2I8,0
Mg8O16Si4,0
Mn2O12Sr4Te2,0
HoIn3,0
Rh9Sb8Zn7,0
Au4Cd2La4,0
C12Cr2Cs4K2N12,0
F6NbRb2,0
Cr2O8Pr2,0
Ni8Si4Zn12,0
Co3Nb,0
AlCrCu2,0
P4S14,0
LiMgPdSb,0
BiMoTeTiI6,0
Fe2Se2O8,0
Ag8K4S6,0
Cd8Cl8H4O14Se4,0
C12F18InK3O12,0
Fe8P4Sc2,0
Hf26Pd8,0
Cl2Cu3H6NiO6,0
GdMgNi4,0
Ca2Cl2,0
Ca3Cd3Sn3,0
Ni2P4Zr2,0
NdTl,0
Au2Tl4,0
O32Si8Zn16,0
AuLiMgSn,0
AsCa3N,0
Fe24N10,0
CaTl,0
W2Te4I6,0
Be8H4O18Si4,0
CLu3Pb,0
Ca8Ge4O16,0
INb4Te12,0
Al2Mn2Pt2,0
Ba3MnNb2O9,0
Al3Zr,0
Al4Ir4Lu4,0
Ga2Sb4Ti10,0
Ru2Br6,0
Bi8Cd8O32Y8,0
F6NaRb2Sc,0
H10K6Pd2,0
ClMg2N,0
In14K4Sr2,0
I8S8O44,0
K8O24S16,0
Lu2Ni2Si6,0
Ga9K3,0
Ba2Mn4O10Tb2,0
As3Co3Ni3,0
O6Pt3,0
F24Mo4,0
Cu4Li2P2,0
Cl6K2W,0
B4Mo4,0
Al4Cd2S8,0
Cr4Na4O28P8,0
Bi8Cl8,0
Al2Cl12I2,0
Cu32Zr12,0
Ni2Po2,0
Ba2O18V8,0
Cu2In2O4,0
Bi4Li4Sr4,0
Al3Ni5,0
F20Gd4Rb8,0
Br4Lu4O16W4,0
LaSe,0
As4Cu12S13,0
Cl18Cs2SrTa6,0
Cr4Mo8O32Tl4,0
C4CoHgN4Se4,0
K16O12Zn4,0
AlH6Pr,0
B14Fe6O28,0
Ba2O4Sn,0
C2B31Lu2N2,0
F12K2Rb4Sc2,0
B4Fe,0
Cs2F6KSc,0
As12Ni16Y5Zr3,0
Ge8Hf24,0
InNNi3,0
Li8O6Ru,0
La10O3Si8,0
RuTi,0
I2Al6Te6,0
