formula,target
Pt12Zr4,0
Br12Sn6,0
Co4Mo4P4,0
F2Sc2Se2,1
Ge8Ti4,0
Bi2F2Fe2Te4,1
BiSbO5,1
Ru2Sb2Te6,1
O28S12Si8Y16,0
Li8O12Ti4,0
Fe6Ge6Hf,0
Gd4Ge4Na4O16,0
Co4Mo4P4,0
MnAl2O4,1
C4K2O12Yb2,0
CaPo,0
C4H4N4O4Pb4S4,0
Na2Cd4Cl6O8,1
Ba9In4,0
NaMo2O2Cl6,1
C4B4Ce2,0
AuBa2F2S2,1
Os2F6,1
C4Co2F10N6V2,0
Au6In6Sr2,0
Nb2V2S10,1
B12F4Li4O18,0
Cu4Ge2Zr3,0
Al6La2,0
AlNi2,1
Ag2Cd6P2S12,0
Fe4Nb4Te8,1
TiHf3Br10,0
NNb2S2,1
Mo3O8,1
AgCrP2Te6,1
FeZnSe2,1
Cr4O8,1
F12K2Rb4Sc2,0
PF4,1
ClLi6O5P,0
B4Ca4Cs4O12,0
B13P2,1
Pt2Nb4Te14,1
ZnCr4O9,1
Ga,0
ClO4Rb,0
TeTa4I11,0
C2Cl2Ge2,1
H2O2N3W4,1
Sr2Cu2SnO7,1
F6RbRu,0
Ag4Fe4O28P8,0
B2Be4F4O6Rb2,0
BrCuSiTe3,1
Ba8Mn4Te12,0
Al18Gd4Ir6,0
As6Si6,0
Hg8Mo4O16,0
Al2Co2S5,1
Pd4Si4Ti4,0
Be2F8NaRb3,0
CoTe2Zr6,0
Ni2Se8Ta8,0
I28Rb4W12,0
BrCl3O4Sn4,1
Bi2Br2Se2,0
B4Ni14Y6,0
Mn2Cl5,1
TeBi2O2,1
As8Na8,0
Br16Cl8Sr16,0
HgAl2Se4,1
B8Eu2Ir8,0
Ni4Ta4Se8,1
Mn2Ni2O12Sc4,0
Br4Mn4Sb4Se8,0
I2Mn2S2,1
HfITiS3,1
Ca4I2N2,0
Cl2Rb2,1
AuK3O,0
Cl2C3W4,1
B8Mg8O20,0
Cr3O8,1
ClGaIO2Rh2,1
Li2H2Pt,1
FeRuBr2O2,1
Sb2C,1
Mn3NPt,0
C8N8Pt2Zn2,0
BrClCr,1
P12Re4,0
Ba8Rh2,0
CHo3In,0
Bi2Cl2Mn2Se4,1
Mo6Na2Se6,0
As2H2Sn2O6,1
CoSnTa,0
OsZr,0
Ti(CoO3)2,1
CPt3Sn,0
Cl2Ni2Te4,1
Hg2Na4Pb2,0
Be2H4O4,0
AuPSi,0
C8H24Mo4O16Sn4,0
C8H8Cu3Na2O16,0
Bi2Br6,0
PtPd2F5,1
C5Si5,0
B4O24Pb12W2,0
NH2Mn2S2,1
AgO2H4C6N6,1
Cr2Cu2P4O12,1
Ag2SO4,1
Al2S2,1
Al4Cl4S4,0
CoTeMoO6,1
Tc2I5,1
Li2N6Si4,0
Cl6Cs2LaLi,0
I2In2Se2,1
AuVP2S6,1
FeH2,1
B2Ir5Sc,0
Mn6Ti10,0
In4La2Rh2,0
MnH2O2,1
B6Co21V2,0
W3O8,1
C2Cu2H4O6,0
H4Pd2,0
Be2Li2Sb2,0
Ag2I2Sr3S4,1
Ga16Ir7Ti6,0
MnPdSb,0
FeCl4,1
Cl2H4O12Rb2Se4Zn2,0
As2C,1
Cr4O28P8Sr4,0
Ba2Se6,0
AlGeLi2,0
Al8Y12,0
CrCo3O8,1
Mn4O8Ti2,0
Al10H2O16,0
CoF6Pt,0
H5W,1
Sr4Zn4,0
INSr2,0
Ca2O22Ta8,0
Zr2I4,1
Sb2S2O,1
AlLiSb2Se6,1
W2O5,1
Fe6Ge6Ti6,0
CuNi2Sb,0
Cu2Na4O24P8,0
N4S2Zr4,0
Gd2O6,0
TbGe2,1
Zn3(GaS3)2,1
FeI2N2F4C6,1
AuClInPdZnBr2O5,1
Ir2Zr4,0
O32Pb8W8,0
Ni2O8Rh4,0
As4Ni4Zr4,0
Cl6DyRb3,0
Mg4Ni2,0
C6Al6Lu2,0
Si4Pd,1
Cl4O12Pb4V4,0
B8Cd4Cu8O24,0
Au4Bi4Pb12,0
O24Sb10Yb6,0
BrHfSnTiZr2Se5I7,0
AsBiCr,1
Li18O24Ta6,0
BrSCd2,1
Au2Na2Te2,0
B6Eu2O12,0
LiCu3F10,1
F14Fe4Na4,0
C4H16Hg6N2Sb6Se16,0
I4InLiO12,0
B8Mo2,0
Fe8Ge16,0
F2Sb2Sr2Zn2,0
SnBr3,1
CdSe,0
Hf6Ru6Si6,0
Al39Rh12,0
S2C3Hf4,1
Gd2K6O16V4,0
F6Mg2Na2,0
Cl24Gd4Li4Rb8,0
GeSiTe2,1
Co4Fe4Si4,0
F2S2C3Ta4,1
ClSZnPd3Se6,1
Cl2B3Y4,1
Mn8Sn4Te16,0
Br14In8,0
Re4O8H12,0
Ge2La2Mn2,0
Ba2F8Ni2,0
Na8Sn16,0
NiBr2F4C8,1
Nb2F4Se4,1
Cu8O20Y8,0
AsGe2O6,1
BrCa2CuO10Ta3,0
Zn2Cl4N8H16,0
Ge6O20Pb6,0
SbTe2Zr2,1
Ba10Cl4O18Ta4,0
Al12Au32,0
BaF2S2,1
SrF2S2,1
B2Cd2Li2O6,0
Ag2Cl2N2,1
SSeLi2Ti2,1
PrTe2Se,1
Be5Pt,0
Ca8Mn4O14,0
