formula,Elements,Metal_NonMetal,Electronegativity,Num_Elements,Atomic_Composition,Is_Metal
S3,['S'],['S - Non-Metal'],[2.58],1,{'S': 3.0},FALSE
Kr,['Kr'],['Kr - Non-Metal'],[3.0],1,{'Kr': 1.0},FALSE
I2Nd2Ta3At3,"['I', 'Nd', 'Ta', 'At']","['I - Non-Metal', 'Nd - Metal', 'Ta - Metal', 'At - Non-Metal']","[2.66, 1.14, 1.5, 2.2]",4,"{'I': 2.0, 'Nd': 2.0, 'Ta': 3.0, 'At': 3.0}",TRUE
P6,['P'],['P - Non-Metal'],[2.19],1,{'P': 6.0},FALSE
At5,['At'],['At - Non-Metal'],[2.2],1,{'At': 5.0},FALSE
Se5,['Se'],['Se - Non-Metal'],[2.55],1,{'Se': 5.0},FALSE
PuO3,"['Pu', 'O']","['Pu - Metal', 'O - Non-Metal']","[1.28, 3.44]",2,"{'Pu': 1.0, 'O': 3.0}",FALSE
Te3,['Te'],['Te - Non-Metal'],[2.1],1,{'Te': 3.0},FALSE
Nd2Po3,"['Nd', 'Po']","['Nd - Metal', 'Po - Non-Metal']","[1.14, 2.0]",2,"{'Nd': 2.0, 'Po': 3.0}",TRUE
Bi5,['Bi'],['Bi - Metal'],[2.02],1,{'Bi': 5.0},TRUE
In2,['In'],['In - Metal'],[1.78],1,{'In': 2.0},TRUE
Te4,['Te'],['Te - Non-Metal'],[2.1],1,{'Te': 4.0},FALSE
IAs3Ba3,"['I', 'As', 'Ba']","['I - Non-Metal', 'As - Non-Metal', 'Ba - Metal']","[2.66, 2.18, 0.89]",3,"{'I': 1.0, 'As': 3.0, 'Ba': 3.0}",TRUE
In3,['In'],['In - Metal'],[1.78],1,{'In': 3.0},TRUE
TiCd3Te3,"['Ti', 'Cd', 'Te']","['Ti - Metal', 'Cd - Metal', 'Te - Non-Metal']","[1.54, 1.69, 2.1]",3,"{'Ti': 1.0, 'Cd': 3.0, 'Te': 3.0}",TRUE
Pb3,['Pb'],['Pb - Metal'],[2.33],1,{'Pb': 3.0},TRUE
OSm,"['O', 'Sm']","['O - Non-Metal', 'Sm - Metal']","[3.44, 1.17]",2,"{'O': 1.0, 'Sm': 1.0}",FALSE
YbKr3Si4,"['Yb', 'Kr', 'Si']","['Yb - Metal', 'Kr - Non-Metal', 'Si - Non-Metal']","[1.1, 3.0, 1.9]",3,"{'Yb': 1.0, 'Kr': 3.0, 'Si': 4.0}",TRUE
